Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
RL,Land Use,96,"China, Hong Kong SAR",7209,Share in Land area,6620,Cropland,%,7.57,E,Estimated value
RL,Land Use,41,"China, mainland",7209,Share in Land area,6620,Cropland,%,12.76,E,Estimated value
RL,Land Use,214,"China, Taiwan Province of",7209,Share in Land area,6620,Cropland,%,24.38,E,Estimated value
RL,Land Use,44,Colombia,7209,Share in Land area,6620,Cropland,%,4.12,E,Estimated value
RL,Land Use,45,Comoros,7209,Share in Land area,6620,Cropland,%,53.83,E,Estimated value
RL,Land Use,46,Congo,7209,Share in Land area,6620,Cropland,%,1.64,E,Estimated value
RL,Land Use,47,Cook Islands,7209,Share in Land area,6620,Cropland,%,18.74,E,Estimated value
RL,Land Use,48,Costa Rica,7209,Share in Land area,6620,Cropland,%,9.97,E,Estimated value
RL,Land Use,107,C?te d'Ivoire,7209,Share in Land area,6620,Cropland,%,19.85,E,Estimated value
RL,Land Use,98,Croatia,7209,Share in Land area,6620,Cropland,%,17.93,E,Estimated value
RL,Land Use,49,Cuba,7209,Share in Land area,6620,Cropland,%,32.05,E,Estimated value
RL,Land Use,50,Cyprus,7209,Share in Land area,6620,Cropland,%,21.6,E,Estimated value
RL,Land Use,167,Czechia,7209,Share in Land area,6620,Cropland,%,36.65,E,Estimated value
RL,Land Use,51,Czechoslovakia,7209,Share in Land area,6620,Cropland,%,41.81,E,Estimated value
RL,Land Use,116,Democratic People's Republic of Korea,7209,Share in Land area,6620,Cropland,%,20.08,E,Estimated value
RL,Land Use,250,Democratic Republic of the Congo,7209,Share in Land area,6620,Cropland,%,3.94,E,Estimated value
RL,Land Use,54,Denmark,7209,Share in Land area,6620,Cropland,%,63.04,E,Estimated value
RL,Land Use,72,Djibouti,7209,Share in Land area,6620,Cropland,%,0.07,E,Estimated value
RL,Land Use,55,Dominica,7209,Share in Land area,6620,Cropland,%,24.54,E,Estimated value
RL,Land Use,56,Dominican Republic,7209,Share in Land area,6620,Cropland,%,26,E,Estimated value
RL,Land Use,58,Ecuador,7209,Share in Land area,6620,Cropland,%,9.93,E,Estimated value
RL,Land Use,59,Egypt,7209,Share in Land area,6620,Cropland,%,3.1,E,Estimated value
RL,Land Use,60,El Salvador,7209,Share in Land area,6620,Cropland,%,37.98,E,Estimated value
RL,Land Use,61,Equatorial Guinea,7209,Share in Land area,6620,Cropland,%,3.95,E,Estimated value
RL,Land Use,178,Eritrea,7209,Share in Land area,6620,Cropland,%,5.35,E,Estimated value
RL,Land Use,63,Estonia,7209,Share in Land area,6620,Cropland,%,17.17,E,Estimated value
RL,Land Use,209,Eswatini,7209,Share in Land area,6620,Cropland,%,10.32,E,Estimated value
RL,Land Use,238,Ethiopia,7209,Share in Land area,6620,Cropland,%,13.09,E,Estimated value
RL,Land Use,62,Ethiopia PDR,7209,Share in Land area,6620,Cropland,%,11.61,E,Estimated value
RL,Land Use,64,Faroe Islands,7209,Share in Land area,6620,Cropland,%,0.05,E,Estimated value
RL,Land Use,66,Fiji,7209,Share in Land area,6620,Cropland,%,9.48,E,Estimated value
RL,Land Use,67,Finland,7209,Share in Land area,6620,Cropland,%,7.72,E,Estimated value
RL,Land Use,68,France,7209,Share in Land area,6620,Cropland,%,35.42,E,Estimated value
RL,Land Use,69,French Guiana,7209,Share in Land area,6620,Cropland,%,0.12,E,Estimated value
RL,Land Use,70,French Polynesia,7209,Share in Land area,6620,Cropland,%,6.81,E,Estimated value
RL,Land Use,74,Gabon,7209,Share in Land area,6620,Cropland,%,1.65,E,Estimated value
RL,Land Use,75,Gambia,7209,Share in Land area,6620,Cropland,%,24.6,E,Estimated value
RL,Land Use,73,Georgia,7209,Share in Land area,6620,Cropland,%,10.44,E,Estimated value
RL,Land Use,79,Germany,7209,Share in Land area,6620,Cropland,%,35.09,E,Estimated value
RL,Land Use,81,Ghana,7209,Share in Land area,6620,Cropland,%,21.32,E,Estimated value
RL,Land Use,84,Greece,7209,Share in Land area,6620,Cropland,%,29.09,E,Estimated value
RL,Land Use,86,Grenada,7209,Share in Land area,6620,Cropland,%,37.38,E,Estimated value
RL,Land Use,87,Guadeloupe,7209,Share in Land area,6620,Cropland,%,18.96,E,Estimated value
RL,Land Use,88,Guam,7209,Share in Land area,6620,Cropland,%,19.15,E,Estimated value
RL,Land Use,89,Guatemala,7209,Share in Land area,6620,Cropland,%,18.88,E,Estimated value
RL,Land Use,90,Guinea,7209,Share in Land area,6620,Cropland,%,15.25,E,Estimated value
RL,Land Use,175,Guinea-Bissau,7209,Share in Land area,6620,Cropland,%,14.8,E,Estimated value
RL,Land Use,91,Guyana,7209,Share in Land area,6620,Cropland,%,2.1,E,Estimated value
RL,Land Use,93,Haiti,7209,Share in Land area,6620,Cropland,%,44.15,E,Estimated value
RL,Land Use,95,Honduras,7209,Share in Land area,6620,Cropland,%,14.64,E,Estimated value
RL,Land Use,97,Hungary,7209,Share in Land area,6620,Cropland,%,56.43,E,Estimated value
RL,Land Use,99,Iceland,7209,Share in Land area,6620,Cropland,%,1.27,E,Estimated value
RL,Land Use,100,India,7209,Share in Land area,6620,Cropland,%,56.5,E,Estimated value
RL,Land Use,101,Indonesia,7209,Share in Land area,6620,Cropland,%,16.63,E,Estimated value
RL,Land Use,102,Iran (Islamic Republic of),7209,Share in Land area,6620,Cropland,%,10.25,E,Estimated value
RL,Land Use,103,Iraq,7209,Share in Land area,6620,Cropland,%,11.63,E,Estimated value
RL,Land Use,104,Ireland,7209,Share in Land area,6620,Cropland,%,7.05,E,Estimated value
RL,Land Use,264,Isle of Man,7209,Share in Land area,6620,Cropland,%,38.31,E,Estimated value
RL,Land Use,105,Israel,7209,Share in Land area,6620,Cropland,%,19.25,E,Estimated value
RL,Land Use,106,Italy,7209,Share in Land area,6620,Cropland,%,39.64,E,Estimated value
RL,Land Use,109,Jamaica,7209,Share in Land area,6620,Cropland,%,21.61,E,Estimated value
RL,Land Use,110,Japan,7209,Share in Land area,6620,Cropland,%,14.09,E,Estimated value
RL,Land Use,112,Jordan,7209,Share in Land area,6620,Cropland,%,3.39,E,Estimated value
RL,Land Use,108,Kazakhstan,7209,Share in Land area,6620,Cropland,%,11.28,E,Estimated value
RL,Land Use,114,Kenya,7209,Share in Land area,6620,Cropland,%,9.2,E,Estimated value
RL,Land Use,83,Kiribati,7209,Share in Land area,6620,Cropland,%,45.44,E,Estimated value
RL,Land Use,118,Kuwait,7209,Share in Land area,6620,Cropland,%,0.41,E,Estimated value
RL,Land Use,113,Kyrgyzstan,7209,Share in Land area,6620,Cropland,%,7.21,E,Estimated value
RL,Land Use,120,Lao People's Democratic Republic,7209,Share in Land area,6620,Cropland,%,4.46,E,Estimated value
RL,Land Use,119,Latvia,7209,Share in Land area,6620,Cropland,%,19.56,E,Estimated value
RL,Land Use,121,Lebanon,7209,Share in Land area,6620,Cropland,%,28.65,E,Estimated value
RL,Land Use,122,Lesotho,7209,Share in Land area,6620,Cropland,%,11.1,E,Estimated value
RL,Land Use,123,Liberia,7209,Share in Land area,6620,Cropland,%,6.24,E,Estimated value
RL,Land Use,124,Libya,7209,Share in Land area,6620,Cropland,%,1.19,E,Estimated value
RL,Land Use,125,Liechtenstein,7209,Share in Land area,6620,Cropland,%,21.33,E,Estimated value
RL,Land Use,126,Lithuania,7209,Share in Land area,6620,Cropland,%,36.81,E,Estimated value
RL,Land Use,256,Luxembourg,7209,Share in Land area,6620,Cropland,%,24.63,E,Estimated value
RL,Land Use,129,Madagascar,7209,Share in Land area,6620,Cropland,%,5.42,E,Estimated value
RL,Land Use,130,Malawi,7209,Share in Land area,6620,Cropland,%,28.37,E,Estimated value
RL,Land Use,131,Malaysia,7209,Share in Land area,6620,Cropland,%,17.72,E,Estimated value
RL,Land Use,132,Maldives,7209,Share in Land area,6620,Cropland,%,20.49,E,Estimated value
RL,Land Use,133,Mali,7209,Share in Land area,6620,Cropland,%,3.23,E,Estimated value
RL,Land Use,134,Malta,7209,Share in Land area,6620,Cropland,%,37.54,E,Estimated value
RL,Land Use,127,Marshall Islands,7209,Share in Land area,6620,Cropland,%,44.44,E,Estimated value
RL,Land Use,135,Martinique,7209,Share in Land area,6620,Cropland,%,18.84,E,Estimated value
RL,Land Use,136,Mauritania,7209,Share in Land area,6620,Cropland,%,0.36,E,Estimated value
RL,Land Use,137,Mauritius,7209,Share in Land area,6620,Cropland,%,47.04,E,Estimated value
RL,Land Use,270,Mayotte,7209,Share in Land area,6620,Cropland,%,46.68,E,Estimated value
RL,Land Use,138,Mexico,7209,Share in Land area,6620,Cropland,%,11.62,E,Estimated value
RL,Land Use,145,Micronesia (Federated States of),7209,Share in Land area,6620,Cropland,%,3.26,E,Estimated value
RL,Land Use,141,Mongolia,7209,Share in Land area,6620,Cropland,%,0.73,E,Estimated value
RL,Land Use,273,Montenegro,7209,Share in Land area,6620,Cropland,%,6.41,E,Estimated value
RL,Land Use,142,Montserrat,7209,Share in Land area,6620,Cropland,%,19.68,E,Estimated value
RL,Land Use,143,Morocco,7209,Share in Land area,6620,Cropland,%,19.46,E,Estimated value
RL,Land Use,144,Mozambique,7209,Share in Land area,6620,Cropland,%,5.24,E,Estimated value
RL,Land Use,28,Myanmar,7209,Share in Land area,6620,Cropland,%,16.49,E,Estimated value
RL,Land Use,147,Namibia,7209,Share in Land area,6620,Cropland,%,0.89,E,Estimated value
RL,Land Use,148,Nauru,7209,Share in Land area,6620,Cropland,%,19.68,E,Estimated value
RL,Land Use,149,Nepal,7209,Share in Land area,6620,Cropland,%,15.52,E,Estimated value
RL,Land Use,150,Netherlands (Kingdom of the),7209,Share in Land area,6620,Cropland,%,28.94,E,Estimated value
RL,Land Use,151,Netherlands Antilles (former),7209,Share in Land area,6620,Cropland,%,9.68,E,Estimated value
RL,Land Use,153,New Caledonia,7209,Share in Land area,6620,Cropland,%,0.69,E,Estimated value
RL,Land Use,156,New Zealand,7209,Share in Land area,6620,Cropland,%,1.81,E,Estimated value
RL,Land Use,157,Nicaragua,7209,Share in Land area,6620,Cropland,%,13.27,E,Estimated value
RL,Land Use,158,Niger,7209,Share in Land area,6620,Cropland,%,10.23,E,Estimated value
RL,Land Use,159,Nigeria,7209,Share in Land area,6620,Cropland,%,38.78,E,Estimated value
RL,Land Use,160,Niue,7209,Share in Land area,6620,Cropland,%,14.02,E,Estimated value
RL,Land Use,154,North Macedonia,7209,Share in Land area,6620,Cropland,%,20.68,E,Estimated value
RL,Land Use,163,Northern Mariana Islands,7209,Share in Land area,6620,Cropland,%,2.61,E,Estimated value
RL,Land Use,162,Norway,7209,Share in Land area,6620,Cropland,%,2.32,E,Estimated value
RL,Land Use,221,Oman,7209,Share in Land area,6620,Cropland,%,0.21,E,Estimated value
RL,Land Use,164,Pacific Islands Trust Territory,7209,Share in Land area,6620,Cropland,%,17.92,E,Estimated value
RL,Land Use,165,Pakistan,7209,Share in Land area,6620,Cropland,%,40.56,E,Estimated value
RL,Land Use,180,Palau,7209,Share in Land area,6620,Cropland,%,5,E,Estimated value
RL,Land Use,299,Palestine,7209,Share in Land area,6620,Cropland,%,31.59,E,Estimated value
RL,Land Use,166,Panama,7209,Share in Land area,6620,Cropland,%,8.53,E,Estimated value
RL,Land Use,168,Papua New Guinea,7209,Share in Land area,6620,Cropland,%,1.8,E,Estimated value
RL,Land Use,169,Paraguay,7209,Share in Land area,6620,Cropland,%,6.3,E,Estimated value
RL,Land Use,170,Peru,7209,Share in Land area,6620,Cropland,%,3.5,E,Estimated value
RL,Land Use,171,Philippines,7209,Share in Land area,6620,Cropland,%,31.74,E,Estimated value
RL,Land Use,173,Poland,7209,Share in Land area,6620,Cropland,%,45.51,E,Estimated value
RL,Land Use,174,Portugal,7209,Share in Land area,6620,Cropland,%,28.9,E,Estimated value
RL,Land Use,177,Puerto Rico,7209,Share in Land area,6620,Cropland,%,14.99,E,Estimated value
RL,Land Use,179,Qatar,7209,Share in Land area,6620,Cropland,%,0.97,E,Estimated value
RL,Land Use,117,Republic of Korea,7209,Share in Land area,6620,Cropland,%,20.6,E,Estimated value
RL,Land Use,146,Republic of Moldova,7209,Share in Land area,6620,Cropland,%,63.6,E,Estimated value
RL,Land Use,182,R?union,7209,Share in Land area,6620,Cropland,%,17.94,E,Estimated value
RL,Land Use,183,Romania,7209,Share in Land area,6620,Cropland,%,43.34,E,Estimated value
RL,Land Use,185,Russian Federation,7209,Share in Land area,6620,Cropland,%,7.65,E,Estimated value
RL,Land Use,184,Rwanda,7209,Share in Land area,6620,Cropland,%,46.69,E,Estimated value
RL,Land Use,187,"Saint Helena, Ascension and Tristan da Cunha",7209,Share in Land area,6620,Cropland,%,7.49,E,Estimated value
RL,Land Use,188,Saint Kitts and Nevis,7209,Share in Land area,6620,Cropland,%,33.42,E,Estimated value
RL,Land Use,189,Saint Lucia,7209,Share in Land area,6620,Cropland,%,23.42,E,Estimated value
RL,Land Use,190,Saint Pierre and Miquelon,7209,Share in Land area,6620,Cropland,%,12.2,E,Estimated value
RL,Land Use,191,Saint Vincent and the Grenadines,7209,Share in Land area,6620,Cropland,%,19.21,E,Estimated value
RL,Land Use,244,Samoa,7209,Share in Land area,6620,Cropland,%,19.61,E,Estimated value
RL,Land Use,192,San Marino,7209,Share in Land area,6620,Cropland,%,19.46,E,Estimated value
RL,Land Use,193,Sao Tome and Principe,7209,Share in Land area,6620,Cropland,%,35.28,E,Estimated value
RL,Land Use,194,Saudi Arabia,7209,Share in Land area,6620,Cropland,%,1.32,E,Estimated value
RL,Land Use,195,Senegal,7209,Share in Land area,6620,Cropland,%,16.96,E,Estimated value
RL,Land Use,272,Serbia,7209,Share in Land area,6620,Cropland,%,32.27,E,Estimated value
RL,Land Use,186,Serbia and Montenegro,7209,Share in Land area,6620,Cropland,%,38.28,E,Estimated value
RL,Land Use,196,Seychelles,7209,Share in Land area,6620,Cropland,%,8.72,E,Estimated value
RL,Land Use,197,Sierra Leone,7209,Share in Land area,6620,Cropland,%,12.66,E,Estimated value
RL,Land Use,200,Singapore,7209,Share in Land area,6620,Cropland,%,6.98,E,Estimated value
RL,Land Use,199,Slovakia,7209,Share in Land area,6620,Cropland,%,30.12,E,Estimated value
RL,Land Use,198,Slovenia,7209,Share in Land area,6620,Cropland,%,11.09,E,Estimated value
RL,Land Use,25,Solomon Islands,7209,Share in Land area,6620,Cropland,%,2.55,E,Estimated value
RL,Land Use,201,Somalia,7209,Share in Land area,6620,Cropland,%,1.65,E,Estimated value
RL,Land Use,202,South Africa,7209,Share in Land area,6620,Cropland,%,10.63,E,Estimated value
RL,Land Use,277,South Sudan,7209,Share in Land area,6620,Cropland,%,4.06,E,Estimated value
RL,Land Use,203,Spain,7209,Share in Land area,6620,Cropland,%,38.4,E,Estimated value
RL,Land Use,38,Sri Lanka,7209,Share in Land area,6620,Cropland,%,31.8,E,Estimated value
RL,Land Use,276,Sudan,7209,Share in Land area,6620,Cropland,%,11.09,E,Estimated value
RL,Land Use,206,Sudan (former),7209,Share in Land area,6620,Cropland,%,5.97,E,Estimated value
RL,Land Use,207,Suriname,7209,Share in Land area,6620,Cropland,%,0.35,E,Estimated value
RL,Land Use,210,Sweden,7209,Share in Land area,6620,Cropland,%,6.97,E,Estimated value
RL,Land Use,211,Switzerland,7209,Share in Land area,6620,Cropland,%,10.51,E,Estimated value
RL,Land Use,212,Syrian Arab Republic,7209,Share in Land area,6620,Cropland,%,31.19,E,Estimated value
RL,Land Use,208,Tajikistan,7209,Share in Land area,6620,Cropland,%,6.71,E,Estimated value
RL,Land Use,216,Thailand,7209,Share in Land area,6620,Cropland,%,37.28,E,Estimated value
RL,Land Use,176,Timor-Leste,7209,Share in Land area,6620,Cropland,%,10.17,E,Estimated value
RL,Land Use,217,Togo,7209,Share in Land area,6620,Cropland,%,41.78,E,Estimated value
RL,Land Use,218,Tokelau,7209,Share in Land area,6620,Cropland,%,51.13,E,Estimated value
RL,Land Use,219,Tonga,7209,Share in Land area,6620,Cropland,%,39.81,E,Estimated value
RL,Land Use,220,Trinidad and Tobago,7209,Share in Land area,6620,Cropland,%,13.7,E,Estimated value
RL,Land Use,222,Tunisia,7209,Share in Land area,6620,Cropland,%,31.17,E,Estimated value
RL,Land Use,223,T?rkiye,7209,Share in Land area,6620,Cropland,%,34.17,E,Estimated value
RL,Land Use,213,Turkmenistan,7209,Share in Land area,6620,Cropland,%,3.56,E,Estimated value
RL,Land Use,224,Turks and Caicos Islands,7209,Share in Land area,6620,Cropland,%,1.05,E,Estimated value
RL,Land Use,227,Tuvalu,7209,Share in Land area,6620,Cropland,%,63.98,E,Estimated value
RL,Land Use,226,Uganda,7209,Share in Land area,6620,Cropland,%,34.5,E,Estimated value
RL,Land Use,230,Ukraine,7209,Share in Land area,6620,Cropland,%,58.17,E,Estimated value
RL,Land Use,225,United Arab Emirates,7209,Share in Land area,6620,Cropland,%,1.12,E,Estimated value
RL,Land Use,229,United Kingdom of Great Britain and Northern Ireland,7209,Share in Land area,6620,Cropland,%,27.25,E,Estimated value
RL,Land Use,215,United Republic of Tanzania,7209,Share in Land area,6620,Cropland,%,11.67,E,Estimated value
RL,Land Use,231,United States of America,7209,Share in Land area,6620,Cropland,%,19.46,E,Estimated value
RL,Land Use,240,United States Virgin Islands,7209,Share in Land area,6620,Cropland,%,12.14,E,Estimated value
RL,Land Use,234,Uruguay,7209,Share in Land area,6620,Cropland,%,10.04,E,Estimated value
RL,Land Use,228,USSR,7209,Share in Land area,6620,Cropland,%,10.63,E,Estimated value
RL,Land Use,235,Uzbekistan,7209,Share in Land area,6620,Cropland,%,10.68,E,Estimated value
RL,Land Use,155,Vanuatu,7209,Share in Land area,6620,Cropland,%,9.72,E,Estimated value
RL,Land Use,236,Venezuela (Bolivarian Republic of),7209,Share in Land area,6620,Cropland,%,3.92,E,Estimated value
RL,Land Use,237,Viet Nam,7209,Share in Land area,6620,Cropland,%,24.61,E,Estimated value
RL,Land Use,243,Wallis and Futuna Islands,7209,Share in Land area,6620,Cropland,%,38.59,E,Estimated value
RL,Land Use,205,Western Sahara,7209,Share in Land area,6620,Cropland,%,0.02,E,Estimated value
RL,Land Use,249,Yemen,7209,Share in Land area,6620,Cropland,%,2.84,E,Estimated value
RL,Land Use,248,Yugoslav SFR,7209,Share in Land area,6620,Cropland,%,31.49,E,Estimated value
RL,Land Use,251,Zambia,7209,Share in Land area,6620,Cropland,%,4.01,E,Estimated value
RL,Land Use,181,Zimbabwe,7209,Share in Land area,6620,Cropland,%,7.07,E,Estimated value
