"","Area","Element","Unit","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Mean"
"68","Senegal","Food supply quantity (g/capita/day)","g/cap/d",25.39,23.63,27.15,26.25,29.22,29.01,27.15,27.62,27.75,29.95,26.95,28.54,26.17,27.2907692307692
"69","Solomon Islands","Food supply quantity (g/capita/day)","g/cap/d",10.15,9.48,10.08,9.11,10.32,10.01,9.87,8.86,8.87,8.51,8.7,8.29,8,9.25
"70","Somalia","Food supply quantity (g/capita/day)","g/cap/d",53.47,54.48,54.14,52.8,51.99,47.03,44.23,40.74,41,40.1,38.85,36.77,35,45.4307692307692
"71","South Africa","Food supply quantity (g/capita/day)","g/cap/d",90.21,85.97,86.24,82.32,101.12,109.99,107.65,113.64,88.87,117.65,110.14,113.2,109.84,101.295384615385
"72","Spain","Food supply quantity (g/capita/day)","g/cap/d",216.6,218.19,216.41,214.63,206.13,210.91,212.11,201.59,202.34,150.19,138.83,138.47,114.44,187.756923076923
"73","Sri Lanka","Food supply quantity (g/capita/day)","g/cap/d",9.95,10.29,14.51,13.5,11.61,14.86,19.09,19.55,23.23,22.45,24.66,24.57,24.85,17.9323076923077
"74","Sudan","Food supply quantity (g/capita/day)","g/cap/d",NA,NA,190.33,187.2,183.07,180.05,177.15,173.67,169.86,166.28,163.01,158.32,155.4,173.121818181818
"75","Sweden","Food supply quantity (g/capita/day)","g/cap/d",121.03,123.48,101.35,99.05,110.58,102.6,106.79,106.42,115.89,98.03,113.84,112.97,111.04,109.466923076923
"76","Syria","Food supply quantity (g/capita/day)","g/cap/d",108.86,130.19,122.21,118.98,123.36,121.45,122.29,105.7,94.62,90.04,105.56,97.29,96.25,110.523076923077
"77","Thailand","Food supply quantity (g/capita/day)","g/cap/d",24.29,26.11,27.03,28.7,27.74,31.06,30.76,30.67,30.6,29.87,29.02,29.03,21.55,28.1869230769231
"78","Tunisia","Food supply quantity (g/capita/day)","g/cap/d",171.92,174.94,179.16,185.64,199,216.56,222.02,222.51,214.59,209.95,208.49,209.92,204.67,201.49
"79","Turkey","Food supply quantity (g/capita/day)","g/cap/d",298.1,326.93,372.32,381.14,378.31,368.22,364.93,389.81,418.01,434.09,450.89,446.44,407.12,387.408461538462
"80","Uganda","Food supply quantity (g/capita/day)","g/cap/d",99.33,100.34,100.21,101.08,105.13,105.28,99.76,94.36,117.83,94.19,86.63,83.8,81.51,97.65
"81","Ukraine","Food supply quantity (g/capita/day)","g/cap/d",364.13,379.66,381.19,370.33,288.52,276.81,271.03,275.89,333.28,334.63,343.17,291.94,317.69,325.251538461538
"82","United Kingdom","Food supply quantity (g/capita/day)","g/cap/d",298.42,298.36,291.32,292.11,285.74,288.32,273.09,281.04,279.72,267.69,273.08,282.89,273.62,283.492307692308
"83","Tanzania","Food supply quantity (g/capita/day)","g/cap/d",52.99,54.3,56.2,56.59,56.86,56.77,56.68,53.75,59.82,64.7,70.36,68.42,76.12,60.2738461538462
"84","United States","Food supply quantity (g/capita/day)","g/cap/d",303.12,285.72,288.34,280.39,286.7,284.17,287.25,283.46,264.39,261.67,262.95,266.27,258.24,277.897692307692
"85","Uruguay","Food supply quantity (g/capita/day)","g/cap/d",281.14,294.13,289.52,288.29,301.38,323.47,294.36,313.1,315.4,319.65,303.61,302.77,328.21,304.233076923077
"86","Uzbekistan","Food supply quantity (g/capita/day)","g/cap/d",402.49,438.51,462.02,486.72,533.32,540.08,548.87,547.5,547.4,551.49,563.98,569.52,579.51,520.877692307692
"87","Vietnam","Food supply quantity (g/capita/day)","g/cap/d",6.66,7.19,7.89,9.35,11.09,14.47,15.81,17.31,18.24,19.1,20.15,20.94,21.88,14.6215384615385
"88","Yemen","Food supply quantity (g/capita/day)","g/cap/d",3.94,3.63,3.66,3.72,3.78,2.5,2.2,2.01,2.69,3.76,3.67,3.84,3.36,3.28923076923077
"89","Zambia","Food supply quantity (g/capita/day)","g/cap/d",10.65,10.24,9.96,9.64,9.48,8.45,8.05,8.23,9.18,6.11,6.46,7.02,7.37,8.52615384615385
